run_id,chunked_scan_sec,naive_scan_sec,speedup_core,walltime_sec,tokens_per_sec,core_tokens_per_sec,vmhwm_bytes,load_weights_sec,init_state_sec,write_output_sec,wy_coeff_time_ms,wy_update_time_ms,sync_time_ms
M8-20260919-001,0.01,0.026,2.5,0.011,86153.927,192036.108,12603392,0.0,0.0,0.0,7.916,1.128,0.0
M8-20260919-002,0.007,0.019,2.5,0.008,118975.265,265843.175,12566528,0.0,0.0,0.0,5.902,0.697,0.0
M8-20260919-003,0.004,0.012,2.5,0.005,182608.86,423899.749,12578816,0.0,0.0,0.0,3.533,0.682,0.0
M8-20260919-004,0.005,0.012,2.5,0.005,174817.653,407956.506,12566528,0.0,0.0,0.0,3.549,0.507,0.0
M8-20260919-005,0.007,0.017,2.5,0.007,128247.196,289609.222,11939840,0.0,0.0,0.0,5.436,0.751,0.0
M8-20260919-006,0.004,0.011,2.5,0.005,188762.788,456087.239,12189696,0.0,0.0,0.0,3.43,0.486,0.0
M8-20260919-007,0.005,0.012,2.5,0.006,166106.516,402336.458,12492800,0.0,0.0,0.0,3.598,0.543,0.0
M8-20260919-008,0.004,0.012,2.5,0.005,172363.325,410896.295,12587008,0.0,0.0,0.0,3.457,0.504,0.0
M8-20260919-009,0.008,0.022,2.5,0.009,104734.468,232286.403,12406784,0.0,0.0,0.0,6.738,0.937,0.0
M8-20260919-010,0.007,0.019,2.5,0.008,115940.742,256031.299,12148736,0.0,0.0,0.0,6.197,0.851,0.0
