phase,run_id,seq_len,recompute_tokens,walltime_sec,tokens_per_sec,vmhwm_bytes,kv_payload_bytes,gdn_state_bytes,gdn_time_ms,gated_attn_time_ms,moe_time_ms,moe_percent
prefill,M9-20260919-001,128,128,0.018,6922.321,14475264,16384,12288,1.483,8.742,3.952,27.877
prefill,M9-20260919-002,128,128,0.017,7392.464,14299136,16384,12288,1.609,7.782,3.942,29.567
prefill,M9-20260919-003,128,128,0.017,7373.812,14229504,16384,12288,1.317,8.192,3.699,28.004
prefill,M9-20260919-004,128,128,0.02,6301.051,14397440,16384,12288,2.357,8.059,5.072,32.747
prefill,M9-20260919-005,128,128,0.018,6996.852,14442496,16384,12288,1.498,8.22,4.151,29.93
decode,M9-20260919-006,1,0,0.003,267.077,13570048,16512,12288,0.019,0.12,0.044,24.01
decode,M9-20260919-007,1,0,0.004,205.111,13533184,16640,12288,0.028,0.128,0.063,28.676
decode,M9-20260919-008,1,0,0.004,225.111,13012992,16768,12288,0.023,0.132,0.046,22.867
decode,M9-20260919-009,1,0,0.004,215.881,13578240,16896,12288,0.024,0.165,0.051,21.401
decode,M9-20260919-010,1,0,0.003,255.601,13377536,17024,12288,0.021,0.128,0.041,21.499
decode,M9-20260919-011,1,0,0.003,257.015,13475840,17152,12288,0.02,0.121,0.042,22.784
decode,M9-20260919-012,1,0,0.004,244.095,13365248,17280,12288,0.028,0.123,0.056,27.146
decode,M9-20260919-013,1,0,0.004,208.737,13500416,17408,12288,0.027,0.158,0.055,23.148
decode,M9-20260919-014,1,0,0.003,260.559,13524992,17536,12288,0.021,0.13,0.045,23.039
decode,M9-20260919-015,1,0,0.003,259.614,13414400,17664,12288,0.02,0.128,0.04,21.361
decode,M9-20260919-016,1,0,0.004,206.666,13471744,17792,12288,0.033,0.128,0.065,28.855
decode,M9-20260919-017,1,0,0.004,226.405,13565952,17920,12288,0.026,0.127,0.051,25.196
decode,M9-20260919-018,1,0,0.005,197.439,13586432,18048,12288,0.033,0.132,0.063,27.666
decode,M9-20260919-019,1,0,0.005,197.754,13512704,18176,12288,0.033,0.14,0.064,27.155
decode,M9-20260919-020,1,0,0.005,175.671,13365248,18304,12288,0.036,0.26,0.082,21.655
decode,M9-20260919-021,1,0,0.004,211.997,13488128,18432,12288,0.027,0.132,0.053,25.267
decode,M9-20260919-022,1,0,0.006,156.492,13451264,18560,12288,0.039,0.386,0.09,17.547
decode,M9-20260919-023,1,0,0.005,193.965,13496320,18688,12288,0.036,0.136,0.075,30.274
decode,M9-20260919-024,1,0,0.005,167.525,13463552,18816,12288,0.037,0.272,0.084,21.376
decode,M9-20260919-025,1,0,0.004,233.242,13549568,18944,12288,0.019,0.145,0.044,21.051
decode,M9-20260919-026,1,0,0.005,189.037,13529088,19072,12288,0.032,0.137,0.067,28.349
decode,M9-20260919-027,1,0,0.004,200.435,13672448,19200,12288,0.032,0.146,0.066,27.22
decode,M9-20260919-028,1,0,0.005,191.746,13500416,19328,12288,0.034,0.139,0.075,30.178
decode,M9-20260919-029,1,0,0.004,210.917,13631488,19456,12288,0.026,0.155,0.055,23.36
decode,M9-20260919-030,1,0,0.005,173.716,13475840,19584,12288,0.036,0.276,0.079,20.192
decode,M9-20260919-031,1,0,0.003,254.317,13344768,19712,12288,0.021,0.146,0.043,20.412
decode,M9-20260919-032,1,0,0.005,168.75,13369344,19840,12288,0.037,0.386,0.077,15.518
decode,M9-20260919-033,1,0,0.004,200.513,13418496,19968,12288,0.032,0.146,0.065,26.654
decode,M9-20260919-034,1,0,0.005,192.238,13410304,20096,12288,0.032,0.142,0.062,26.224
decode,M9-20260919-035,1,0,0.005,174.361,13529088,20224,12288,0.036,0.176,0.072,25.457
